Block,Borough,OBJECTID,the_geom,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteTy,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
58,SI,1,"MULTIPOLYGON (((-74.09145318437722 40.64302777925549, -74.0914226952439 40.64292509393507, -74.09141559050897 40.64290116559638, -74.09193861393133 40.64281408091465, -74.09199788584148 40.64301370463047, -74.09147486211141 40.6431007877779, -74.09145318437722 40.64302777925549)))",27,105 Franklin Avenue,5000580027,105 Franklin Avenue House,LP-00330,"Borough of Richmond Tax Map Block 58, Lot 27.",Block and Lot,Designated,also known as Hamilton Park Cottage,10/13/1970 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0330.pdf,446.281128563,11078.2500008
2390,SI,2,"MULTIPOLYGON (((-74.15192193203103 40.58295935113143, -74.15199518138745 40.58288801641335, -74.15215337886444 40.582733954108804, -74.15247184698494 40.582423803506025, -74.15272952955463 40.582172847802504, -74.15296199479684 40.58195613874219, -74.15319779377069 40.58173622969653, -74.15365082355952 40.58131236615992, -74.15546730853794 40.58228484825162, -74.15521015324731 40.582544486854516, -74.15499265202463 40.582764088068885, -74.15485465512855 40.58290341518706, -74.1546353780847 40.583124805650435, -74.15442489163436 40.58333731820453, -74.15429451665634 40.58346894841315, -74.1540823617615 40.58368314295034, -74.1538660445052 40.58390153911068, -74.15378788683677 40.58398044509553, -74.15192193203103 40.58295935113143)))",194,435 Richmond Hill Road,5023900194,Decker Farmhouse,LP-00369,"Borough of Richmond Tax Map Block 2390, Lot 194.",Block and Lot,Designated,,12/13/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0369.pdf,2797.2094166,484779.747766
506,SI,3,"MULTIPOLYGON (((-74.07790665812381 40.633789806562795, -74.07804551835702 40.63347318428897, -74.07821373514767 40.63351538900072, -74.07824844370965 40.63340783344859, -74.07876953467904 40.63351164344522, -74.07861592335307 40.63398765872439, -74.07790665812381 40.633789806562795)))",81,98 Grant Street,5005060081,Public School 15 (Daniel D. Tompkins School),LP-01877,"Borough of Staten Island Tax Map Block 506, Lot 81.",Block and Lot,Designated,,11/19/1996 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1877.pdf,748.859028918,32265.5964126
1015,SI,4,"MULTIPOLYGON (((-74.13066516743713 40.6371690161479, -74.13072495718542 40.63691020093058, -74.13103559533656 40.637045723193495, -74.1309316110044 40.63718933677412, -74.13066516743713 40.6371690161479)))",9,121 Heberton Avenue,5010150009,121 Heberton Avenue House,LP-02120,"Borough of the Staten Island Tax Map Block 1015, Lot 9.",Block and Lot,Designated,,12/17/2002 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2120.pdf,329.167837419,6515.86113188
2281,SI,5,"MULTIPOLYGON (((-74.13863423148463 40.57340207534613, -74.13828945441671 40.57282106470816, -74.13880797871434 40.5727586353537, -74.1391671783256 40.57336393936442, -74.13864864848189 40.57342636943774, -74.13863423148463 40.57340207534613)))",155,3531 Richmond Road,5022810155,Reverend David Moore House,LP-00366,"Borough of Richmond Tax Map Block 2282, Lot 155.",Block and Lot,Designated,also known as the Moore-McMillen House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0366.pdf,775.77893649,34036.911836
230,SI,6,"MULTIPOLYGON (((-74.12325538146878 40.62867685040772, -74.12357012115466 40.62855026769091, -74.12381705023212 40.628925175092235, -74.12352511312113 40.6290436283973, -74.12350296352706 40.62905275195171, -74.12325538146878 40.62867685040772)))",33,752 Delafield Avenue,5002300033,752 Delafield Avenue,LP-00342,"Borough of Richmond Tax Map Block 230, Lot 33.",Block and Lot,Designated,also known as the Scott-Edwards House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0342.pdf,503.637256342,15112.0037124
514,SI,7,"MULTIPOLYGON (((-74.07822630434423 40.63147388536034, -74.07836583204387 40.63120060057565, -74.07854191260495 40.63125246743388, -74.0784016590792 40.631527178448685, -74.07822630434423 40.63147388536034)))",30,63 William Street,5005140030,Mary and David Burgher House,LP-02367,"Borough of Staten Island Tax Map Block 514, Lot 30",Block and Lot,Designated,,01/12/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2367.pdf,319.023316589,5612.60159756
7,SI,8,"MULTIPOLYGON (((-74.07652014713315 40.64254697063377, -74.07583998709484 40.64285078160644, -74.07552349197438 40.64243486565573, -74.07550965769406 40.64241378009183, -74.07549718616237 40.642387177054445, -74.07549209538855 40.64237129164591, -74.07548860383352 40.64235514673852, -74.07548669084056 40.642338248861755, -74.07548654713798 40.64232094819217, -74.07548849285463 40.642301983793665, -74.07549314752903 40.642281418295596, -74.07549817411382 40.64226669962066, -74.07550309805296 40.64225529852352, -74.07551133339967 40.64223979519043, -74.07553383326837 40.64220357146001, -74.0755553014688 40.64217606182123, -74.07557079369755 40.642159011127156, -74.0755857423364 40.64214424720504, -74.07560790531029 40.6421248066472, -74.07562850113084 40.64210888724309, -74.07565109059395 40.64209339066809, -74.07567398447728 40.64207947249749, -74.07570302993172 40.642064040102994, -74.07572376756845 40.64205436658577, -74.07574306590627 40.64204627532356, -74.07575995802308 40.64203986060805, -74.07577520226826 40.642034578027314, -74.07579065620723 40.64202969063406, -74.0758041890169 40.642025782468416, -74.07582035892159 40.64202155107732, -74.07584186799453 40.642016635370744, -74.07585994438857 40.642013112325394, -74.0758807186946 40.64200972887845, -74.07590719602092 40.6420064713381, -74.07593036064874 40.642005113371866, -74.0759489717323 40.642005011930436, -74.07596762401495 40.642005792966984, -74.07598941881447 40.64200783895384, -74.07601130254258 40.64201115370857, -74.07602893193081 40.64201478105025, -74.07604614253603 40.642019191217, -74.07606634510475 40.64202553551714, -74.07608444750554 40.64203238729483, -74.07610828816112 40.64204330021334, -74.0761197020489 40.64204938466748, -74.07613066711288 40.642055825122405, -74.07614228008072 40.64206335567545, -74.07615325624894 40.6420712351498, -74.0761648451781 40.64208048660755, -74.07617526614537 40.642089772157135, -74.07618691699629 40.64210148108709, -74.07652014713315 40.64254697063377)))",1,2-10 Richmond Terrace,5000070001,Staten Island Borough Hall,LP-01207,"Borough of Staten Island Tax Map Block 7, Lot 1.",Block and Lot,Designated,,03/23/1982 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1207.pdf,889.184902303,54479.5138401
2268,SI,9,"MULTIPOLYGON (((-74.1329850241124 40.57839968605887, -74.13348414712823 40.57827000883396, -74.13350504313125 40.5783158356928, -74.13359250651683 40.57850764313701, -74.13359676558963 40.578506536842056, -74.13362632152032 40.57857135198646, -74.13362206244572 40.57857245918297, -74.13364344263157 40.57861934446998, -74.13374701650542 40.57884648046266, -74.13350290223742 40.578868489560534, -74.13322274921336 40.57892102451172, -74.1329850241124 40.57839968605887)))",180,190 Meisner Avenue,5022680180,Nathaniel J. and Ann C. Wyeth House,LP-02253,"Borough of Staten Island Tax Map Block 2268, Lot 180",Block and Lot,Designated,,05/15/2007 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2253.pdf,720.846442823,30706.2994361
64,SI,10,"MULTIPOLYGON (((-74.09235803508132 40.641730382892355, -74.09236110522806 40.6417278310577, -74.09237056605393 40.64172000515396, -74.09238169617474 40.64171051014753, -74.09239375624978 40.64169985722608, -74.09240642378798 40.64168822405076, -74.0924179726373 40.641677199623224, -74.09243163992771 40.64166359530629, -74.09244579499874 40.64164880911484, -74.09246070912097 40.64163238606857, -74.0924750907926 40.64161563025648, -74.09248857181777 40.64159900664274, -74.0925020349174 40.641581396073065, -74.09251420095657 40.64156449345264, -74.09252626403837 40.64154666518029, -74.0925370703989 40.64152964838497, -74.09254262218802 40.64152046582886, -74.09254922192753 40.64150911578076, -74.09255563109045 40.64149759028444, -74.09256191568778 40.64148575150738, -74.09258755017716 40.6414278896425, -74.09300957674532 40.64161062456577, -74.09282277745368 40.64190187182138, -74.092725341983 40.6419736209214, -74.092669865413 40.64201447265146, -74.09235803508132 40.641730382892355)))",155,22 Pendleton Place,5000640155,22 Pendleton Place House,LP-00332,"Borough of Richmond Tax Map Block 64, Lot 155.",Block and Lot,Designated,also known as the W. S. Pendleton House,03/04/1969 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0332.pdf,575.20554756,20375.87832
515,SI,11,"MULTIPOLYGON (((-74.07947876389446 40.62931256676739, -74.07955618323682 40.629229861701816, -74.07985250287956 40.629392236152874, -74.07977508489688 40.62947494051512, -74.07947876389446 40.62931256676739)))",39,364 Van Duzer Street,5005150039,364 Van Duzer Street House,LP-00772,"Borough of Richmond Tax Map Block 515, Lot 39.",Block and Lot,Designated,,12/18/1973 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0772.pdf,276.649845943,3749.60609577
9,SI,12,"MULTIPOLYGON (((-74.07784894995204 40.64485009409709, -74.07803128624285 40.645091297742795, -74.07765656183544 40.64525746559588, -74.0774729361016 40.64501683405892, -74.07784894995204 40.64485009409709)))",22,100 Richmond Terrace,5000090022,Staten Island Family Courthouse,LP-02057,"Borough of Staten Island Tax Map Block 9, Lot 22, in part excluding the portion of the lot between the western elecation and the western lot line.",Irregular,Designated,originally Staten Island Children's Courthouse,01/30/2001 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2057.pdf,443.876822694,12222.5862447
188,SI,13,"MULTIPOLYGON (((-74.12156988970813 40.63865575563485, -74.12184016129395 40.6385612167047, -74.12202025983188 40.63891811054478, -74.12183771343206 40.63908711909169, -74.12156988970813 40.63865575563485)))",40,1674 Richmond Terrace,5001880040,John DeGroot House,LP-02179,"Borough of Staten Island Tax Map Block 188, Lot 40.",Block and Lot,Designated,,06/28/2005 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2179.pdf,475.429290611,12006.8956776
2294,SI,14,"MULTIPOLYGON (((-74.14675988408393 40.57266547191616, -74.14751709942335 40.57263537633345, -74.14753939600466 40.572581915897814, -74.14774576498185 40.57257582426305, -74.14775564272772 40.572699234031404, -74.14778512816146 40.573067680472356, -74.1470314908161 40.5731765125104, -74.14696974631718 40.57318467914297, -74.14693485377614 40.57318810885451, -74.14691031622449 40.573188957914354, -74.14688541483358 40.57318761375328, -74.14686327775173 40.573184500121776, -74.14684030189937 40.57318018355516, -74.14681925732735 40.57317604372032, -74.14679323779134 40.573168354963045, -74.14677000001281 40.57315984766996, -74.1467483410377 40.573149654372166, -74.14672892247822 40.57313843431074, -74.14670621961548 40.5731245123604, -74.14668833851941 40.57311052391342, -74.14667027329345 40.57309388905339, -74.14665523329178 40.57307759613044, -74.14664181229104 40.57306178832325, -74.1466313989501 40.573046392718354, -74.14662484064858 40.57303384685899, -74.14661922235967 40.57302074417504, -74.14661699205375 40.57300861783944, -74.14661560228446 40.5729936582773, -74.14675988408393 40.57266547191616)))",70,Old Mill Road at Arthur Kill Road,5022940070,Saint Andrew's Church,LP-00399,"Borough of Richmond Tax Map Block 2515, Lot 10.",Block and Lot,Designated,,11/15/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0399.pdf,959.120926492,55424.3762954
1211,SI,15,"MULTIPOLYGON (((-74.15605897893656 40.636792541616785, -74.1560517648104 40.6363558891178, -74.15613807801135 40.63635105952431, -74.15627517422766 40.63634338905783, -74.15631085477702 40.63679823028325, -74.15605897893656 40.636792541616785)))",87,2876 Richmond Terrace,5012110087,Stephen D. Barnes House,LP-00930,"Borough of Staten Island, Tax Map Block 1211, Lot 87.",Block and Lot,Designated,,07/13/1976 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0930.pdf,457.214045519,10718.5553928
58,SI,16,"MULTIPOLYGON (((-74.0903418101153 40.64153538055612, -74.09045694826987 40.641923194835954, -74.09079825952671 40.64186636786633, -74.09093859106208 40.64184300378113, -74.09094598410995 40.64186790448422, -74.09089147993636 40.64187697978033, -74.09091201298737 40.64194613690257, -74.09013373614135 40.64207571284467, -74.09010494548454 40.642033115653376, -74.0900783925636 40.64198775481075, -74.09005010128541 40.64192970251037, -74.09003548730871 40.64189307364383, -74.09001722313276 40.64183744488464, -74.08999757677603 40.64174482749258, -74.0900625228217 40.64169430886971, -74.0901421953643 40.64164039811924, -74.09022093978322 40.641594369382325, -74.0902650512712 40.64157132110616, -74.09031009374526 40.6415496192581, -74.0903418101153 40.64153538055612)))",77,66 Harvard Avenue,5000580077,66 Harvard Avenue House,LP-00331,"Borough of Richmond Tax Map Block 58, Lot 77.",Block and Lot,Designated,also known as the Pritchard House,03/19/1968 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0331.pdf,803.251073552,21463.360158
246,SI,17,"MULTIPOLYGON (((-74.10332163629899 40.61746843865477, -74.10396436479999 40.61714173446395, -74.10414396961521 40.61734110490555, -74.10374945849506 40.617545878181225, -74.10380488308519 40.617612139833284, -74.103725181123 40.61765351058504, -74.10376466613262 40.61770071629776, -74.10368874734382 40.61774012137289, -74.10364926118287 40.61769291563532, -74.10356884463583 40.6177346552357, -74.1035492443955 40.617744829872734, -74.10332163629899 40.61746843865477)))",56,1197 Clove Road,5002460056,John King Vanderbilt House,LP-01639,"Borough of Staten Island Tax Map Block 246, Lot 56.",Block and Lot,Designated,,10/06/1987 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1639.pdf,709.287034879,22260.6125528
939,SI,18,"MULTIPOLYGON (((-74.11931256613616 40.58076376567011, -74.11946990129351 40.580718259849114, -74.11961063497377 40.58067755648557, -74.11974649895619 40.580638261042516, -74.12043608077427 40.5804388097304, -74.12062707556903 40.58070318804172, -74.12065479420444 40.58074137180398, -74.11942139686806 40.581098735153304, -74.11926914513998 40.58077632354575, -74.11931256613616 40.58076376567011)))",120,25 Boyle Street,5009390120,"New Dorp Light, Expanded Site",LP-00361E,"Borough of Richmond Tax Map Block 939, Lot 120.",Block and Lot,Designated,,12/18/1973 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0361E.pdf,963.909173875,44473.9951032
518,SI,19,"MULTIPOLYGON (((-74.08050606685035 40.62892264820079, -74.08043851520608 40.62888698896342, -74.08037994275129 40.62885606914954, -74.08038466213442 40.6288510238386, -74.08007896126807 40.62868964515532, -74.08018163549043 40.628580714235284, -74.08048395474685 40.62874030748226, -74.08053693057464 40.62876827295579, -74.08063029360262 40.628817559616884, -74.08052052548653 40.628930281689414, -74.08050606685035 40.62892264820079)))",7,390 Van Duzer Street,5005180007,390 Van Duzer Street House,LP-00773,"Borough of Richmond Tax Map Block 518, Lot 7.",Block and Lot,Designated,,12/18/1973 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0773.pdf,404.471444021,7490.34314695
25,SI,20,"MULTIPOLYGON (((-74.08137529062257 40.638149669987065, -74.08138906240674 40.6380944899377, -74.08176059403226 40.63815309690519, -74.08174548648762 40.63820806632656, -74.08137529062257 40.638149669987065)))",5,411 Westervelt Avenue,5000250005,"411 Westervelt Avenue House, Horton's Row",LP-02377,"Borough of Staten Island Tax Map Block 25, Lot 5.",Block and Lot,Designated,,09/15/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2377.pdf,251.149551599,2150.70472618
3105,SI,21,"MULTIPOLYGON (((-74.06352450610024 40.599426155429136, -74.06336306532856 40.59916838351795, -74.06368211863244 40.59906411305553, -74.06394239046222 40.599435031565214, -74.06361406987548 40.5995691601983, -74.06352450610024 40.599426155429136)))",1,45 McClean Avenue,5031050001,H. H. Richardson House,LP-02141,Too long,Irregular,Designated,,03/30/2004 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2141.pdf,514.893340239,15718.8392577
38,SI,22,"MULTIPOLYGON (((-74.08194618553848 40.6395823757636, -74.08231907980876 40.63953007653923, -74.08249626209043 40.639505225815434, -74.08256189491915 40.63977574323499, -74.08200664911696 40.63985392467199, -74.08194618553848 40.6395823757636)))",35,344 Westervelt Avenue,5000380035,August and Augusta Schoverling House,LP-02073,"Borough of Staten Island Tax Map Block 38, Lot 35.",Block and Lot,Designated,,01/30/2001 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2073.pdf,512.509962777,15640.6797019
305,SI,23,"MULTIPOLYGON (((-74.11189182585163 40.62353643226808, -74.11238003607049 40.62338800859516, -74.11252337513204 40.6236478442597, -74.11242602164391 40.623677440567775, -74.11202463117876 40.623799469345904, -74.11189182585163 40.62353643226808)))",76,27 Tyler Street,5003050076,Julia Gardiner Tyler House,LP-00344,"Borough of Richmond Tax Map Block 305, Lot 76.",Block and Lot,Designated,"originally the Elizabeth Racey House, also known as the Gardiner-Tyler House",04/12/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0344.pdf,500.34614368,15142.8566533
2832,SI,24,"MULTIPOLYGON (((-74.06387433252738 40.61121773116519, -74.06405038676382 40.6114566451089, -74.06344350458507 40.61174788973867, -74.06326745175254 40.611508974872486, -74.06387433252738 40.61121773116519)))",18,1331 Bay Street,5028320018,Saint John's Church,LP-00373,"Borough of Richmond Tax Map Block 2832, Lot 18.",Block and Lot,Designated,,02/19/1974 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0373.pdf,597.909525549,19853.3694131
1012,SI,25,"MULTIPOLYGON (((-74.13027014725897 40.636381207812136, -74.1302737369158 40.63633500887649, -74.13027906433253 40.63626645526689, -74.13028453014249 40.63619613648084, -74.13045079578889 40.63620662543875, -74.13040868741373 40.63639168501361, -74.13027014725897 40.636381207812136)))",10,29 Cottage Place,5010120010,29 Cottage Place House,LP-02447,"Borough of Staten Island, Tax Map Block 1012, Lot 10.",Block and Lot,Designated,,10/25/2011 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2447.pdf,220.916697761,2881.91968403
942,SI,26,"MULTIPOLYGON (((-74.12084957510764 40.57591899722207, -74.12061768279534 40.57561933001959, -74.12093283168124 40.575485543568405, -74.12116183057175 40.57578147060837, -74.12134116390463 40.576013214293745, -74.12103296932688 40.576155988075286, -74.12084957510764 40.57591899722207)))",37,2475 Richmond Road,5009420037,Gustave A. Mayer House,LP-01652,"Borough of Staten Island Tax Map Block 942, Lot 37",Block and Lot,Designated,originally the David R. Ryers House,03/21/1989 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1652.pdf,650.610702337,22549.8310113
1073,SI,27,"MULTIPOLYGON (((-74.13193758812749 40.63997623728809, -74.13242319219958 40.63936809673642, -74.13274495754439 40.63951378462351, -74.1328052456507 40.63943828028521, -74.13283747213099 40.63939792229621, -74.13288276294767 40.63934120116829, -74.13342506163838 40.63958667622509, -74.13341711310738 40.639602752518364, -74.13354668291036 40.639638471611995, -74.13349034396983 40.63976013328873, -74.1334260949214 40.63989887886624, -74.13334138604458 40.63987552669236, -74.13325803508393 40.6398525483992, -74.13326233847326 40.63984325635377, -74.13306073664091 40.63976377401422, -74.13290816320793 40.639703619249225, -74.1327492440339 40.63964096366051, -74.1326664820052 40.63960833339015, -74.13248364966469 40.639862446574945, -74.13234198943616 40.63998551980891, -74.1322484352642 40.64006679757026, -74.13220656844852 40.640098026201, -74.13193758812749 40.63997623728809)))",75,54 Port Richmond Avenue,5010730075,"Reformed Church on Staten Island, Sunday School Building, and Cemetery",LP-02384,"Borough of Staten Island, Tax Map Block 1073, Lot 75",Block and Lot,Designated,,03/23/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2384.pdf,1304.0771742,50540.0744729
149,SI,28,"MULTIPOLYGON (((-74.11194890411879 40.64373419835679, -74.111924567792 40.643612074761684, -74.11203304390274 40.64360042088024, -74.11202031531856 40.64353655046857, -74.11230874172287 40.643505563257506, -74.1123104772154 40.64354630013774, -74.11231158616472 40.64357441235461, -74.11231239358501 40.643603188548276, -74.11231130542518 40.64361833183634, -74.112309772888 40.64363215179571, -74.11230699667975 40.64365230721947, -74.11229201199674 40.64370003854772, -74.11226987908213 40.64374746887516, -74.11224440236305 40.64378760285568, -74.1122170776882 40.64381993743855, -74.11218238387781 40.64385419190567, -74.1121594291303 40.64387486139264, -74.1121352280114 40.643894652283386, -74.11211095132492 40.64391450807992, -74.11209791490428 40.64392433284181, -74.11209763270887 40.64392454473879, -74.1120573792416 40.64372254445371, -74.11194890411879 40.64373419835679)))",1,1262 Richmond Terrace,5001490001,Cornelius Cruser House,LP-00341,"Borough of Richmond Tax Map Block 149, Lot 1.",Block and Lot,Designated,also known as the Kreuzer-Pelton House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0341.pdf,455.193393715,9432.9959181
63,SI,29,"MULTIPOLYGON (((-74.09170246023093 40.64128613947277, -74.0920832545181 40.64122183800279, -74.0924526392155 40.64115946254971, -74.09245538072786 40.64116888427598, -74.09245830682733 40.64118013300661, -74.09246022160706 40.64118841714161, -74.09246190683356 40.641196548372825, -74.0924636448792 40.64120611228719, -74.09246534378669 40.64121729086334, -74.0924664449653 40.641226235732745, -74.09246771025302 40.64124014503084, -74.09246844910258 40.64125464008948, -74.09246854062205 40.64127290974336, -74.09246766337327 40.64129162413204, -74.09246635529514 40.64130570029421, -74.09246409195222 40.641322288771704, -74.0924613806344 40.64133722245551, -74.09245722843407 40.64135144228577, -74.09245242584345 40.641366377650755, -74.09244693607344 40.641381926821296, -74.09243998602938 40.64139983292285, -74.09243220298683 40.64141805757667, -74.09242249752914 40.64143870707129, -74.09240958810139 40.6414634384903, -74.09239491907232 40.64148865670123, -74.09237937962817 40.641512790484285, -74.09236292633874 40.64153606410299, -74.09234729649823 40.641556399565516, -74.092327263331 40.64158037575696, -74.09231221598864 40.64159707895433, -74.09230003357891 40.64160987970305, -74.09228307839957 40.64162674111813, -74.09226358213012 40.64164489951556, -74.09224453648443 40.641661508655744, -74.09221967706439 40.6416816930124, -74.09219753421029 40.641698399182985, -74.09217353202936 40.64171529324694, -74.0921512881635 40.641729922893, -74.0921275984132 40.64174450686606, -74.09210246263483 40.6417589416057, -74.09207679387616 40.64177266175471, -74.0920495655071 40.641786166121285, -74.09202525040823 40.64179737182702, -74.09200100278015 40.64180778861909, -74.09197391013798 40.6418185786953, -74.0919498495082 40.64182744553406, -74.09192387961878 40.64183629588361, -74.09190061835909 40.6418436095786, -74.09187104230143 40.64185210619264, -74.09170246023093 40.64128613947277)))",50,1 Pendleton Place,5000630050,1 Pendleton Place House,LP-02189,"Borough of Staten Island Tax Map Block 63, Lot 50",Block and Lot,Designated,,03/14/2006 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2189.pdf,750.040774199,33660.0001389
25,SI,30,"MULTIPOLYGON (((-74.08141670825545 40.63798372362635, -74.0814195609408 40.63797229041689, -74.08168032560042 40.63793574252179, -74.08169198281976 40.63793410970429, -74.08170084658197 40.63793334877185, -74.08171291254996 40.63793343205113, -74.08172630776552 40.637934928199584, -74.0817393986327 40.63793790951875, -74.08175251999764 40.63794262611512, -74.08176343181394 40.637948165554505, -74.08177539449272 40.63795656519489, -74.0817846166637 40.63796563316724, -74.08179057729387 40.63797367056339, -74.0817951045798 40.637982167343104, -74.08179768796133 40.63798928861165, -74.08179931063005 40.63799669422709, -74.08179989832306 40.638003591785385, -74.08179948020795 40.63801159589678, -74.08179091730382 40.63804275184439, -74.08141670825545 40.63798372362635)))",1,417 Westervelt Avenue,5000250001,"417 Westervelt Avenue House, Horton's Row",LP-02382,"Borough of Staten Island Tax Map Block 25, Lot 1.",Block and Lot,Designated,,09/15/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2382.pdf,246.076902195,2400.88147249
2286,SI,31,"MULTIPOLYGON (((-74.14187688442244 40.575157665082365, -74.14226251989099 40.57506124618288, -74.14220203294369 40.57480302061644, -74.1424150426362 40.57477574368233, -74.14240211825096 40.574720573693845, -74.14264165502054 40.574689899089876, -74.14270072523661 40.574942070154655, -74.14259807706055 40.57496856770618, -74.14266178969292 40.57524054728615, -74.14193943109558 40.575424687300746, -74.14187688442244 40.575157665082365)))",18,48 Manor Court,5022860018,"William and Catherine Cass House, The Crimson Beech",LP-01773,"Borough of Staten Island Tax Map Block 2286, Lot 18.",Block and Lot,Designated,,08/14/1990 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1773.pdf,890.704365229,32792.2573946
70,SI,32,"MULTIPOLYGON (((-74.09895825709485 40.644647827050385, -74.09892577605385 40.64422421499871, -74.0990405031208 40.64421868612299, -74.09928595987185 40.644206855976826, -74.0992880624516 40.64423425694501, -74.09932234826243 40.644681396088274, -74.09924393229593 40.64467623807696, -74.09914410033072 40.644668033111834, -74.09905892655956 40.64465957409573, -74.09895825709485 40.644647827050385)))",24,806 Richmond Terrace,5000700024,Tysen-Neville House,LP-00334,"Borough of Richmond Tax Map Block 70, Lot 24.",Block and Lot,Designated,also known as the Neville House and the Old Stone Jug,11/15/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0334.pdf,529.741611678,16484.8240959
25,SI,33,"MULTIPOLYGON (((-74.08138906240674 40.6380944899377, -74.08140235891597 40.63804121482063, -74.0817751778343 40.638100025247724, -74.08176059403226 40.63815309690519, -74.08138906240674 40.6380944899377)))",4,413 Westervelt Avenue,5000250004,"413 Westervelt Avenue House, Horton's Row",LP-02378,"Borough of Staten Island Tax Map Block 25, Lot 4.",Block and Lot,Designated,,09/15/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2378.pdf,250.48021767,2083.79495074
27,SI,34,"MULTIPOLYGON (((-74.0815827002134 40.64017391404484, -74.08155910376699 40.64007670175714, -74.08186728328101 40.64003337852884, -74.08190041321681 40.64017020409482, -74.08159231346471 40.640213515647424, -74.0815827002134 40.64017391404484)))",5,327 Westervelt Avenue,5000270005,Vanderzee-Harper House,LP-02349,"Borough of Staten Island Tax Map Block 27, Lot 5",Block and Lot,Designated,,11/17/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2349.pdf,275.304006239,4408.10887993
314,SI,35,"MULTIPOLYGON (((-74.11770440614256 40.62533356358459, -74.11773631190336 40.625313092695606, -74.11805215262103 40.62511044971138, -74.11819492855064 40.62520991682379, -74.11831406467896 40.625301389851714, -74.1179325225335 40.6255470377949, -74.11770440614256 40.62533356358459)))",1,665 Clove Road,5003140001,Mark W. Allen House,LP-02190,"Borough of Richmond Tax Map Block 314, Lot 1.",Block and Lot,Designated,,06/13/2006 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2190.pdf,465.805510661,13325.9581878
